title,rating,body,date
A handy product... Guranteed Good health,4.0,"The product has a nice builtThe oil consumption has decreased by multifold, and that is reall healthy.Till now, the functionality has been easy to use.A good buy overall",16 August 2020
Must give,5.0,Make men in house cook. Teach them . One two three. .lol.. and wait for some creativity or mess in kitchen.,28 December 2020
Damaged product received,1.0,The product received was damaged. The temperature control button was broken & not working.Returned the product. No replacement option was provided.,17 August 2020
Product is good,4.0,Product is good butPacking of the product was very badThere was no extra amazon safety packing  only Inalsa product box which was broken when I was received,18 November 2020
Excellent product,5.0,"Very easy to use and clean. Made french fries, paneer Tikka, tandoori chicken which all tasted very good and flavourful",4 November 2020
Value for money product,4.0,It’s good product & value for money 👍,18 August 2020
Great,5.0,Nice,24 March 2019
Nice product !,4.0,"It's easy to operate and easy to clean. I am loving the product. And on able all, air fryer product in itself is amazing and healthier option for everyone.",29 November 2020
air fryer,5.0,good quality,13 January 2021
Awesome in budget,4.0,This seems to be very good air fryer within such budget range. Yesterday we prepared french fries it was just like a McDonald's. Really a very good airfire within such price Range,9 August 2020
Excellent product. Value for money,5.0,"Product is very easy to use, easy to clean and food tastes perfect.",5 September 2020
value for money,5.0,"nice product with great value, tried few air less frying and quality is reallygood",24 March 2021
Not satisfied,3.0,Release button got stuck inside on the fourth use itself . Handle quality is not satisfactory. Rest fryer works fine .,10 August 2020
easy to use,5.0,easy to use,29 October 2020
Best airfryer,4.0,Got the air-fryer at a good price and it is very easy to use. Non veg and veg snacks lover it is a must buy to have a hygienic oil free food,10 June 2020
Good Product,5.0,Good Product,4 October 2020
Convenient and carefree,4.0,"The product is easy to use, the only care needed is in cleaning with soft wipes. It meets the purpose in economical way.",12 September 2020
Too good,5.0,It is a good product,28 October 2020
Awesome Product,4.0,It is an awesome product for all the fitness freak people. I have tried baking also and it is equally satisfactory in that too...,24 March 2021
Defected,1.0,"The heating doesn't work, unfortunately I opened it 15 days later as I was traveling and kept it open to try. No heating even after an hour, need this replaced asap",9 November 2020
Poor quality product,1.0,Poor quality product. The rivets used are rusting and the pan's non stick coating is peeling. The after sales service is extremely slow and unresponsive,26 September 2020
Excellent Under 5k,4.0,Nice One. We can cook everything we want from this and it is finest build quality. Just go for it.,29 October 2020
Excellent retailer and product,5.0,Good price and product is worth every penny,22 August 2020
Value for Money,5.0,"Happy with the productFood prepared is very tasty, delicious an crispyTHANKYOU .... INALSA AND AMAZON FOR PROVIDING SUCH A GOOD PRODUCT",21 October 2020
Value buy..Go for it,5.0,tried cooking seekh kabab and loved the taste of the final product. mccain also was easily & well cooked,29 October 2020
Good product,5.0,I have bought Inalsa air fryer recently. Its easy to use and clean. There is recipe booklet which help us give a good overview about the temperature settings and timing.,19 September 2020
Amazing product,5.0,Amazing product. I like the quality and delivery. Thanks for making my life easy. Arshid,17 February 2021
Damaged product,1.0,Product found damaged on unpacking. No user manual etc. found. Please replace it,12 November 2020
Nice product,4.0,Nice product. Does the job well and fairly easy to operate.,18 October 2020
Excellent product,5.0,Very good product...... It's very easy to use and clean..... I highly recommend it,11 March 2021
Inalsa not reliable,1.0,Return window closed. Stopped working after using 3 times in two months of purchase. What will be my fate,30 August 2019
Was not Working properly,1.0,Was not working properly,10 January 2021
Average,3.0,We purchased it as gift for someone.....yet delivery was fast....bt the product we received was cracked from one side....not much satisfactory results,21 July 2019
Value for money,4.0,Best air fryer in this segment .excellent performance and value for money.,11 March 2019
Easy to handle,4.0,Easy to use. But if one follow the recipe from the booklet provided then be careful things can be burned.Till now found it good for frozen products.,31 October 2020
Worth every penny,5.0,"Have used it to cook Smilies, French fries, Cheeze nuggets, and Paneer Tikka. All came out very well.",8 November 2020
Product box and inner thermacol is broken,2.0,"Your browser does not support HTML5 video.


   This item packaging is broken and its Thermador is also broken in the box",11 March 2021
Not recommended,1.0,"After 1 month use , facing switch related issue . Got repaired once but the problem not resolved completely. Will not recommend this product and brand.. kindly arrange for replacement.",8 February 2020
Wonderful experience,4.0,Very nice product at this range. Happy to have this. Easy to use and comes with recipe book. Had a try as well. wonderful experience.,5 March 2021
Waste chinese product,1.0,It stop working in 6 months...dont buy this chinese product....sure you will disappointed,9 February 2021
"Good product, light weight and easy to clean.",4.0,Seems to be nice. I made some readymade fries and cheese triangles. They were fine. Maybe with some practice I'll do better.,25 October 2020
DONT BUY IT,1.0,I bought this product on 19th july and it stopped working abruptly after few days(the day I am writing this product the date is 2nd of august).Please go with a better brand like Prestige or Phillip's,2 August 2019
Instruction Manual & Recipe Book,2.0,Doesn't the Air Fryer come with any Instruction Manual & Recipe Book? I just go the Air Fryer along with an Extended Warranty Coupon in a Cardboard Box Package!,13 August 2020
Fraudulent and fragile productñ,1.0,It's made in China.. whereas it's written the manufacturer is Indian on product description.I have taken a screenshot of that,30 June 2020
Worst brand,1.0,"Inalsa is the worst brand to buy, the product stopped working just after one use.",12 November 2020
Very easy and convenient,5.0,Makes live easier as can be operated in the kitchen with fan switched on. The product is easy to use and saves lot of time. I feel it is totally worth its price,9 August 2020
Size is good n easy to clean.,5.0,Good looks.Easy to use.Easy to clean.Good size also.,25 October 2020
Ok,2.0,"Air fried chicken  tast not good and get smell of heater , quantity  also less the Description",3 February 2021
Nice product,4.0,It is a nice purchase with easy to use functionality and value for money..A better recipe manual would have been great,25 July 2020
Very good at this price point,4.0,The product is very versatile and doesn't require much oil. Very good at the price point but the plastic is a bit delicate and needs to be handled carefully.,23 August 2020
Loving it.,5.0,It is good product with reasonable price . It is best in market at this price.,14 February 2021
Must for a healthy lifestyle,5.0,Great product to lead a healthier lifestyle. The product is easy to use and clean although I hoped it to be much more compact.,7 February 2021
Value for Money,5.0,"Excellent product. Easy to use, easy to clean and provides original flavours",29 March 2021
A good purchase.,4.0,A good item. A must for people who want to try quick and easy recipe. Taste is also good. Price is also good.,29 August 2020
No warranty card no recipe book received,1.0,Didn't receive warranty card nor recipe book. Only received the air fryer. Seller should take care of all this before packing,28 October 2020
Perfect replacement of deep/shallow frying,5.0,Lot's of space inside for cooking. Easy to use. Makes crispy food.,24 October 2020
Easy to handle & use,5.0,I used the product for preparing snacks.  The snacks got prepared without any mess or hassle & they were oil free.,10 November 2020
Check one  in which temperature can be more than 200 degree Celsius,4.0,"I used this one for making french fries.it came out well, but was less moist compared to pan fried fries.",24 March 2021
Useful product,5.0,"Your browser does not support HTML5 video.


   Very useful product....easy to maintain.Enjoying oil free food",3 March 2021
Easy cooking.,4.0,"Oil free cooking,easy to use.",7 December 2020
Don't go for inalsa air fryer,1.0,It's useless . Due to some reason I could not use it before and tried starting it today but it's not operating. I am very disappointed 😞,22 July 2020
Good product at right price,5.0,The quality of the product is excellent and is available at one of the best rates in this category when compared to other companies.,23 October 2020
Very nice ultimate product,5.0,Ultimate,8 August 2020
Good product,4.0,We have been advised by satisfied customers to purchase the product.We are also satisfied with the performance of the frier.,1 November 2020
Fo not buy if u are a Vegeterian,3.0,Not useful for Vegeterians. Use limited to Making Fries..,24 March 2021
Excellent product.,5.0,Very useful and makes delicious chicken without oil. Temperature settings are good. Space is adequate and does the job perfectly.,2 July 2020
Delivered with an open box,3.0,The product came with an open inalsa box. No amazon packing added over it. Though the product is working fine.Seller should improve its packing,12 August 2020
"Excellent, Go for it",5.0,"Very good product, modern look, durable build quality and easy to clean.",15 September 2020
Must buy if you want to cut oil,5.0,This is a must have product if you want to cut on oil. Very easy to use and clean. Taste of food after air frying is very good,5 January 2021
Very useful product,5.0,Very useful product. No frying but yet the taste is same. Crispy food.. Loved this product..,19 July 2019
Airfrier for healthy food,5.0,Very useful product. We have been using it almost daily and getting benefits of Oil free foods.,16 September 2020
Value for money,5.0,It's a great and handy product... Easy to install and use... Recommend you all to use it,21 March 2019
Good product,5.0,"Delivered product in good condition.... Easy to operate.... Used for two days now with different stuff , working perfectly",10 January 2021
Warranty issue,5.0,"Warranty card is neither fillup nor stamped,,, Cash memo also not provided..This is essential for warranty claims...",18 June 2020
Think before buying this priduct,1.0,Waste of.money product.No taste in cooking in this...just show piece only at ur house,26 September 2020
Inalsa Air Fryer- Excellent product!!!,4.0,Excellent product and Easy to use. First thing we made was potato fries. My 9 year old read the instructions and managed to make them on his own,7 August 2020
Good,5.0,"Very nice productLike it very much, food tastes great as if it’s really fried but without any oil. Easy to use and a must have for every household.",16 July 2019
Excellent and easy to use product,5.0,Very good and easy to use product. Rather an excellent product at this price. Nice cooked food without oil..,20 October 2020
Horrible experience,1.0,Never suggest anyone for this Air fryer food taste very bad and quality of this product also bad waste of money.,18 August 2020
Easy to use,4.0,"Your browser does not support HTML5 video.


   Easy to use product",8 August 2020
Nice product,4.0,Very happy to buy it. You can actually cook tasty receipees without oil in this.,10 July 2019
Product didn't powered up,1.0,"Received faulty product which didn't powered up, so was not able to test the actual product. Returned it",6 October 2019
Brand new airfryer not working,2.0,I bought the product yesterday and today it was not working when i turned it on the heating and power light was not working neither the fan,30 July 2020
Value,4.0,Value for money,9 November 2019
Good to use,5.0,Nice Buy,17 August 2020
Really good and useful product👍🏻,5.0,"I really liked the product , it is exactly the same as I ordered and it totally goes with my kitchen. Its a grt deal for the price offered.",25 July 2020
Dont but better take a brand no customer service,2.0,After few cooking. Outer basket is developing a burned mark.. and hard to contact insalsa,8 September 2020
Healthful,5.0,"The product is easy to use and clean, the flavour of food is nice and it is a nice way to healthy living",31 March 2021
Poor quality,1.0,"Button sticking,  not working properly,  dissatisfied",26 July 2020
Very good and easy to use.,5.0,Very good product.You can make a lot of items in it very very easily.Should try it.,26 October 2020
Vfm and easy to use,4.0,Lovely. Vfm. Easy to use.Does the job perfectly.Recommended surely,1 November 2020
Not good,2.0,It's of no use as it takes a lot of time to prepare the product. Electricity consumption is too high.,3 September 2020
Eject button was not working,3.0,"Nice product, now you can have your favorite mouth watering foods without any guilt.Very fast and convenient to use.",11 August 2020
Best To Put in Use,5.0,A need for every home to improve health and reduce unwanted calories,30 October 2020
Happy !,4.0,Happy !!!,12 January 2021
Awesome product,5.0,"Good quality product at reasonable price , the size is big and works well.",3 November 2020
Poor paint quality,2.0,"The paint quality is very bad, it's started peeling off oyn three months, that to when it's very sparingly used. Needs definite improvement.",1 November 2019
Amazing product for health conscious people,5.0,It is overall a good product I like the easy to use and the flavour of the food,4 February 2021
Loved it 😍,5.0,I bought it recently and have used it 2-3 times only but it's amazing. It's very convenient to use. Items are perfectly air fried in it. I recommend this item. It's is value for money. 👍,14 June 2019
Awesome product at this price,5.0,"Very good product. Easy to use , value for money , quality is nice. Flavour of the food is awesome and it is healthy as well.",7 August 2020
Wonderful Product,5.0,"Nice Product, Demo guy 'Manthan' gave a quick and easy demo, and thats it, the product is ready to use, looks good too..",19 December 2019
Healthy cooking👍🏻,5.0,Love the product 👍🏻... Easy and quick oil free cooking👌,15 July 2020
Guiltfree,5.0,I loved it..I like fried food but due to oil..had stopped...now no guilt.,1 August 2019
Good fryer,5.0,Nice design and good looking also very comfortable for cooking,4 November 2020
Missing Manual and Warranty card,3.0,The product has come without Product Manual and Warranty Card. Also not sure about cooking pan/ basket,2 July 2020
Good product,4.0,"After long use, its a good And stable product for every house hold.",26 March 2021
Best product at this price,5.0,Nice product!Quite affordable!Prepare healthy food with less or no oil!,28 January 2021
Superb product,5.0,"Good, rigid, economical and superb product. And its necessary home essential.",25 October 2020
Amazing purchase,5.0,This product is super amazing and easy to use also besides cooking without oil it doesn't compromise in flavor,24 October 2020
Don't purchase anyone,1.0,Very bed experience I will sugges to go for other brand  this Brand heating problem front pannel not fit properly sensor issue Incloser issue totally wastage of money,25 July 2019
Thumbs up couldn't ask for more at this price !,4.0,"Well, surely a buy primarily for those who is looking up to minimise the usage of oil related stuff",27 October 2020
Not able  to return this broken  piece,1.0,"Broken piece,  we were out of station  when we opened the package n checked, handle  is broken. Now the return window  was so short what to do.",22 February 2020
Inalsa is the best choice.,5.0,It's function is very effective.really it is value for money.,22 May 2019
Good value for money,5.0,Good value for money.,11 August 2020
Not that great so so product,3.0,"It takes time to cook in comparison to my old air fryer,",28 February 2021
got it,5.0,I have just received it. I am new cook and am so happy to finally get something I really wanted for a long time. thanks,2 August 2020
Good product,5.0,Good product,6 July 2020
Damaged product,4.0,Slightly damaged product,17 September 2020
all over good product.,5.0,"Outer surface very shining & only two switches are there, which keeps the dust free & easy to operate..",1 November 2020
Not worth buying,3.0,"Not a great product, doesn't work every second time. Many a times have to shift half cooked dishes.",4 April 2020
INALSA Air Fryer,5.0,It is good for making oil free dishes and best for people who follow a strict diet..,30 March 2021
It is a very good and convenient device..,5.0,The Air fryer provides an easy and healthy way of preparing our favourite dishes..I loved it..,26 October 2020
Best air fryer,5.0,Perfect air fryer.Its a good.one and i really like it.,7 October 2020
Good to buy this,5.0,Nice,4 March 2020
Faulty product,2.0,"it was broken , the handle was lose with no screw and it was opening without any manual efforts. It was free..",10 August 2020
Very efficient product,5.0,Am very satisfied with the product. Easy to use and handle even by kids. Use it almost daily.,7 August 2020
Fit and finish not upto the mark,4.0,"Overall a good product. However, fit and finish of the mating parts needs improvement.",22 September 2020
Bad,1.0,It is very bad quality  I lost my money. It's  not working  offter one month .,15 January 2021
healthy option,4.0,i recommend this one . very nice to do grilled  and frying 👍,3 December 2020
Value for money,5.0,Nice product,2 March 2019
Useful product,5.0,I jst loved it,31 March 2019
Product is out of order. Advice..,1.0,Item has got some problem n it's out of order since last week. Advice how to return it for repairing.,13 September 2020
Must buy!!,5.0,"It’s absolutely amazing to use this product, excellent condition, satisfying food with unbeatable taste, must buy this!!",2 February 2020
Good,4.0,Good deel,2 December 2020
Not working anymore,2.0,"Stopped working, we hardly add it for 10-15 times in last 8 months.",19 March 2021
Good Product,5.0,Very good product...Loved the way it cooks...Would recommend it is some is looking for such product.,5 August 2019
Nice product.,4.0,"It is value for money, have been cooking frozen goods in this and they all come out great.",17 February 2020
Good product,5.0,"Excellent Fryer, very excited, easy to use, receipe book should have more items",20 October 2019
Ok,4.0,"Had turned faulty within 10 days but got it repaired from inalsa, amazon should have intervened..",27 July 2019
Nice product,4.0,It is a good product with good price. It do its job. Exceeded my expectations.,23 January 2021
Superb Performance,5.0,"Like - freedom from eating deep fried stuff, easy to use, handy & well guided instruction manual.",3 September 2020
Catches fire,1.0,It caught fire the first time I switched it on. Thankfully I got a refund.,18 August 2020
poor quality product,1.0,it gets broken very frequently.i have used it thrice only till date since buying it on 25th june.twice i had to take help of service engineer.ajeet,24 July 2019
No start stop button,5.0,Very easily manageable. But does not have a start stop button.,18 February 2021
Not useful,1.0,Handle is broken and product takes long to fry or cook things.,9 November 2020
Stay healthy with Inalsa Air fryer,4.0,Using Air fryer first time. Very useful product from Inalsa for healthy cooking.,24 October 2020
Awesome product,5.0,Awesome product.can have guilt free dishes....easy to use.,5 December 2020
Great quality,4.0,Good product. Value for money. Spacious product.,17 October 2020
most important to know that how to use it properly.,5.0,we like your air fryer very much and we use mostly for french fries.,28 January 2021
"If you’re looking for a good product at a suitable price, go for it",5.0,"Amazing easy to use air fryer, happy with service and quality",28 October 2020
Not working,1.0,The product is not heating up at all. It appears defective and is not working at all,6 September 2020
#wifeloveINALSA_FRYLIGHT,5.0,"Easy to use, good product, my wife is more happy with this product",17 February 2021
Good product,5.0,Good and easy to use,17 August 2020
Usefull,5.0,Very good product very usefull,27 October 2020
Amazing experience,5.0,Good product. I am satisfied,1 August 2020
Not worth buying,1.0,Lots of problem with this product . The basket is flimsy and started melting,20 December 2020
Excellent,5.0,Good product.Easy to use.Good value for money.,29 October 2020
Worthy purchase at such a good price.,5.0,"Nice finish, good taste, easy to use.",3 February 2021
Good product,4.0,Its easy to use and easy to maintain. Inalsa products are worth buying.,18 November 2020
Very useful,4.0,Very easy to use but its handle is loose,4 January 2021
Ok type...,1.0,I tried bhindi fried ...Not satisfied with the product... disappointed,4 August 2020
Unable to register,4.0,Unable to register my product,25 November 2020
Nice product,4.0,Nice product ......saves your time and best for diet foods...,1 February 2021
Perfect Air Fryer in Budget,5.0,Easy to use and clean. Maintains the food flavours.,3 February 2021
Easy to use. Good to look.,4.0,Pretty simple to use and does the job well. And looks good too!,12 August 2020
Its osum,5.0,"Easy to use, a very good product to use without the use of oil...100 prcnt recommended to everyone",19 September 2019
Healthy lifestyle,5.0,Very easy to use and efficient to cook your food with less quantity of oil.,3 November 2020
Best air fryer,5.0,Value for money... have used Phillips air fryer also... there is no difference apart from pricing...,26 August 2019
Good enough for 2 people,5.0,Good quantity for 2-3 people. Easy to use,7 March 2021
Value for money.,5.0,"Nice product, value for money. Easy to use.",27 October 2020
Nice product,5.0,Nice product. It is convenient to use and great product.,13 July 2019
Do not buy,1.0,Worst product to buy. Defective product received twice and pathetic customer service.,10 August 2020
Money well spent,5.0,Best productBest in its classBest quality productBest price,7 August 2020
Good buy,4.0,Good,6 March 2020
Very nice,5.0,Easy to use,31 July 2020
No guarantee card no invoice no recipe book,1.0,No guantee card no recipe book,9 August 2019
A great buy!,5.0,A great product and a great buy. Already used it to make kebabs and potato patties. Came out nice and crispy.,2 February 2020
Absolutely great!!!,5.0,Almost all air fryers are same. This has been an awesome one at such a price. Very easy to use and made excellent chiken for me.,15 September 2019
Good product,4.0,Looks great. Easy to use and clean. Nice add-on of recipe book.,1 January 2021
Value for Money,5.0,Nice product with Great Quality. Also you can't beat the price.,31 October 2020
Convenient,5.0,It's very convenient reasonable and easy to use.A must buy product seriously.,20 July 2020
Air fryer,5.0,"Very easy and handy,keeps original flavour",15 August 2020
Very good must buy for modern kitchen,5.0,Noiseless..... absolutely awesome product...,13 February 2021
To know how to use proper way to get tasty food is important in,4.0,Likely Easy to use ..Unlike bcoz not get any user manual for,16 November 2020
Service problem,1.0,Don't buy,21 November 2019
Grt product in grt price,5.0,gud one health friendly and easy to use,2 December 2020
must buy and value for money.,5.0,Very easy to use and also the built quality is very good.,18 July 2020
Satisfied with the product performance,5.0,Happy with the overall performance. Value for money product.,20 October 2020
"Nice, value for money",4.0,This is value for money product. Tried some frozen food and it cooked well.,27 August 2020
Quick and oil free cooking,5.0,Very easy to use.,13 February 2021
Excellent product,5.0,"Excellent product for food lovers. Made cutlets, fries and pakoras.",10 June 2020
Nice product.,3.0,Experimented cheese poppers. Good taste.,20 October 2020
To buy Inalsa airfryer is a waste of money,1.0,Product is not goodAfter using it is getting damaged due to heat,6 September 2020
Worth for money,4.0,It's worth for money....a very nice product for daily use....must buyy..,17 August 2020
Fairly Good,5.0,It makes really good french fries.,12 September 2020
Air fryer,5.0,"Perfect product in so gud range, everything comes out so tasty",19 August 2020
User friendly,4.0,Easy to use productperformace is good,24 February 2021
Good health in good Price,5.0,Easy to use value for money,17 August 2019
Value for money,5.0,Nice product,23 June 2019
Great product,5.0,Cooked fast with very minimal oil,4 March 2021
Very nice,5.0,Very use and very tasty and its cooking very fast,7 November 2020
Don't buy seriously,1.0,It literally stopped working in a month. What is this garbage product,3 August 2020
Its affordable..,5.0,The product is good...i can make crispy n juicy chicken.,6 November 2020
Best in rate and quality,5.0,Best in class in quality and rate.food cooked is best,2 February 2020
Great Product,4.0,Super easy to use. Great product for anyone looking for an Air fryer,3 August 2020
Chinese product,1.0,Poor Chinese product,10 September 2020
Good,5.0,"Overall good, but I have not received any recipe book and even warranty card was missing.",25 December 2019
Preeti Bhasin,5.0,Air Fryer Recipe book not received in the box. Pls. arrange to send it immediately.,6 February 2020
Good product,5.0,Product is good but deliver breakable condition,21 April 2019
Value for money product,5.0,Easy to use and worth spending money.,4 February 2021
Easy to use and great product,5.0,Easy to use and clean. Great product.,21 February 2021
Air fryer Inalsa,5.0,"Easy to use, good capacity, high quality plastic material used. Good deal in this price.",17 August 2019
Defective pro6,1.0,"Defective,ehen I used yesterday,19 may 2020,what should I do? Please advice.",20 May 2020
Good product at this price,5.0,No issue after using it for 2 months and giving good qaulity of fry.,21 March 2019
Missing warranty card,3.0,I have not received warranty card with this.,8 November 2020
Nice Product,4.0,Nice Product. Easy to use and clean,10 November 2020
Good choice,4.0,Not used much. Just a test drive done..overall satisfied.,30 September 2019
Defected piece.,1.0,Item delivered is not in working condition. I have checked  late  after 10 days. Otherwise returned.,31 August 2019
Nice product by Inalsa,5.0,Nice product by Inalsa.Super economical. Very easy to use.Go for it!,6 October 2019
Nice,5.0,Easy to use,11 November 2020
Liked it,5.0,Easy to use and serves the purpose,28 January 2021
Nicee,5.0,Easy to clean,22 October 2020
Don't buy,1.0,Useless,20 August 2020
Awesome product,5.0,Good product for less oil cooking,10 November 2020
Good Product,5.0,It's Value for money product,19 August 2020
Inalsa,5.0,Product is perfectly fine...thanks inalsa..,20 October 2020
Five star,5.0,Must buy product for kitchen,3 March 2020
Damaged product,1.0,Received damaged product...initiated retun,20 March 2019
Inalsa Air Fryer Light,5.0,Excellent product for oil free food preparation. We used it and enjoyedSuman Shukla 7987180714,7 October 2019
Good Product !!  Value for money,5.0,Received in a decent packing and product is good value for money. Easy to use and cook items without oil.,16 April 2019
portable n worthy product,5.0,nyc,30 May 2019
Stopped working in 20 days,1.0,Stopped working after 20 days.,1 March 2021
Nice product,4.0,Happy with the product,22 February 2021
Good,5.0,"To fry chicken,  fish. Need little oil",3 November 2020
Great product a must buy,5.0,A good buyEasy toh use,2 February 2021
Great appliance,5.0,Easy to clean. Great appliance for your daily needs.,5 September 2020
Inalsa air fryer,4.0,Satisfied,12 August 2020
Very useful,5.0,Very good product  and very easy to use !!!!,29 October 2020
Great,5.0,Great Product,26 October 2020
Reviewing Inalsa Air Fryer,5.0,The product seems solid and long lasting,2 September 2020
Worst product Dont buy,1.0,Product not working after 3 months. Worst product waste of money,29 September 2019
Easiness,5.0,Easy to used...no or little amount of oil needed to fry,2 August 2020
Feedback,5.0,Good and easy to use,28 September 2020
received defective product,1.0,received defective product,10 July 2020
Awesome product.,5.0,"Great product, very easy to use and excellent quality.",2 August 2020
Excellent Product,5.0,Excellent product. Great value for money. Worth buying,2 August 2020
nice product,5.0,great product easy to use and easy to clean,20 October 2020
Easy to use,5.0,Easy to use with minimum user buttons!,26 November 2020
Good purchase,5.0,It is a good product and value for money.,2 November 2020
Value for money,5.0,Wow,20 October 2020
Push button  not worked,1.0,Pressing  button  not works.  It's  delivered today,10 August 2020
Product is very good,5.0,It is really very good.,23 February 2021
Good,5.0,"Good product, helps in cutting down your calories.",16 August 2020
Best in class,5.0,Easy to use & value for the money. Very good for the health concerns.,18 January 2020
4 star,4.0,good product in reasonable  price,18 July 2019
A health safe accessory,4.0,"Very useful,easy to use, easy to clean",6 September 2020
Useful device,5.0,I like because easy to use and less consumption of electricity,4 November 2019
Must buy..  Affordable quality product,4.0,Good qulaity product with affordable price.  Easy to use and handle.,7 November 2019
Bad product,1.0,Very bad product. Takes too much time to heat,31 August 2020
.,1.0,Take too much time to fry. Even performance is not good. Not recommended for a family above two.,21 March 2019
Good,3.0,The smell persists.,9 March 2021
Best Product,5.0,Easy to use,16 March 2021
Defective product,1.0,Got a defective product.,30 September 2020
Value for money,5.0,Full paisa basil product,18 December 2019
It's healthy n hygienic way with inalsa,5.0,I like the product,7 February 2021
Inalsa air fryer,3.0,"the product seems nice, easy to use.",18 October 2020
nice,5.0,very good product,5 February 2021
Good Product,4.0,The product is good and easy to use. Only drawback is it does not have food seperator,4 August 2019
Easy to Use,5.0,Very Good Product......Very Easy to use and comfortable,22 January 2020
Best product under ₹4000,5.0,Easy to use and affordable,23 December 2020
Value for money,5.0,Excellent buy,15 February 2020
Helpful,4.0,Helpful and easy to use,31 October 2020
Good,4.0,Good and easy to use!!,29 October 2020
Damaged food basket after 1st use,1.0,"Bad experience, Food basket teflon coating got removed after the 1st use.",2 October 2019
Nice,5.0,Nice product,18 February 2021
Complaint,1.0,My airfryer is not working,20 May 2020
"Useless, seems fake",1.0,"Received a damaged product twice, no longer interested in this, I will rather go for philips",28 June 2019
Good product,5.0,Easy to use,1 April 2021
its not working,1.0,Its not working,7 December 2020
awesome product,5.0,Awesome product,7 August 2020
Good product,4.0,Good product,21 October 2020
Inalsa - ok product,3.0,Its a ok product,19 September 2020
How to avail warranty,2.0,After 4 months of use it stopped working..could u pls tell me how to avail warranty,20 August 2019
Excellent product,5.0,Excellent product,6 November 2020
Nice value for money,5.0,Oilfree food..love it,29 August 2019
Good product,4.0,Good product,7 October 2020
How to operate.,5.0,Easy to operate.,4 January 2021
Good product,5.0,"It's a very helpful product, when on diet😊",11 June 2020
Easy to use easy to cook,5.0,Very nice air fryer ever made.,12 July 2020
Awesome,5.0,This product is awsome! Easy to use and value for money!,23 February 2020
nice product,5.0,Gud product,27 January 2021
Horrible product,1.0,Did not work properly even once,26 August 2020
Value for money,5.0,Easy touse,13 February 2020
Good buy!.,4.0,True to description.,11 November 2020
Not starting up.,1.0,Opened after some days of receiving. It is not starting up,15 October 2019
"Simple Dial , Easy to Use , Good Capacity",4.0,Would Recommend,20 August 2020
Worth a buy,5.0,Good product,9 July 2020
Replace my product,1.0,The product is not working  icame to know today because engineer come today for demo,26 June 2019
Perfect,5.0,Amazing fryer. Perfect at this price.,25 June 2020
thumbs up,5.0,working nicely,14 August 2020
China Maal,1.0,After one use stop working. Really Chinese brand.,18 August 2019
Inalsa Air Fryer,5.0,Very good product.,4 September 2020
Easy to use,4.0,Very nice product.,1 November 2020
Worth it,5.0,Best product for the range,31 August 2020
Very good product!,5.0,"Reasonably priced, easy to use!",25 November 2019
Good product,4.0,Good product,4 December 2020
Good product,5.0,Good product. Easy to use,27 June 2020
Worthy product,5.0,Easy to use,6 December 2020
Value for Money...,4.0,Good Product,26 September 2020
Value for money,5.0,Nice,9 January 2021
Nice,3.0,Nice,7 November 2020
Easy,3.0,Easy to use,8 November 2020
Very good air fryer,5.0,Very good air fryer,8 September 2020
Nice!!,4.0,Good product,29 October 2020
Takes too long time to cook,3.0,It takes too much time to cook,13 August 2019
Excellent product value for money,5.0,Excellent product,19 May 2020
Excelente product,5.0,Good product. I like it.,22 July 2020
Nice product,4.0,Easy to use,26 October 2020
did not heat up,1.0,this did not work,21 August 2020
Really a great product in wonderful price,5.0,Very Nice and eligent product,16 July 2019
nice,5.0,liked.good product.value for money,30 September 2019
Good product,4.0,Nice product...,20 June 2020
Not value for moneg,1.0,It's not easy to use,7 May 2019
fine,3.0,Its good product,2 August 2020
Good,5.0,Good,28 August 2020
Nice,4.0,Nice,25 October 2020
Nice product,5.0,Nice product,11 August 2020
Good product,5.0,Value and easy both,15 August 2019
It is very good,5.0,I loved this item,25 June 2020
The best,5.0,Like best,23 August 2020
Don't buy this product,1.0,Worst product,9 July 2020
Nice product by inalsa,5.0,Excellent product,13 March 2020
Good,5.0,Good,7 July 2020
Very good product,4.0,Easy to use and value for money,11 July 2019
Not so good,1.0,Didn’t work,23 August 2019
Good product,1.0,Excellent,9 March 2020
Good,4.0,"गgood, value for money",6 September 2019
Did not like the product,1.0,Had to return as product was defected,6 September 2019
Gorgeous 1,5.0,Awesome product and easy to use,5 October 2019
Inhalsa Air Fryer,5.0,Value for money,28 January 2020
Value for money.,5.0,Nice Product.,5 February 2020
Great product,5.0,Value for money product,16 June 2019
Ideal size for small family,4.0,Value for money,10 July 2019
Inalsa airfryer,5.0,Good product,5 October 2019
Power supplies problem so finally we are returning this product,1.0,This product is not working,23 July 2019
Good product,5.0,Like it,16 August 2019
Useful for Modern kitchen,5.0,Very nice & useful,13 May 2019
Excellent product,5.0,Vslue gor money,5 August 2019
Nice product,5.0,A nice product with value for money.,18 March 2019
Nice product,3.0,Good product and easy use this,4 April 2019
.,5.0,Easy to use,7 June 2019
Ok,4.0,Ok,5 March 2019
